PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,PTS
Jayson Tatum,35,7,16,43.8,2,5,40,5,6,83.3,2,1,3,3,1,2,0,4,0,21
Al Horford,36,4,8,50,0,1,0,5,5,100,4,5,9,4,2,0,2,2,3,13
Aron Baynes,19,4,6,66.7,0,1,0,1,2,50,5,6,11,2,1,0,0,2,3,9
Jaylen Brown,41,13,24,54.2,5,8,62.5,3,4,75,2,6,8,1,1,3,0,2,10,34
Terry Rozier,35,3,12,25,2,10,20,2,2,100,0,5,5,8,1,1,1,2,4,10
Marcus Morris,26,4,14,28.6,1,1,100,4,6,66.7,2,2,4,0,1,0,0,5,-10,13
Greg Monroe,5,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,-8,0
Shane Larkin,16,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-14,0
Guerschon Yabusele,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,-2,0
Semi Ojeleye,17,1,4,25,0,2,0,0,0,0,0,1,1,0,0,0,0,0,4,2
Abdel Nader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Smart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,240,36,87,41.4,10,29,34.5,20,25,80,16,27,43,22,8,6,3,21,-2,102
