PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,PTS
Jayson Tatum,24,2,7,28.6,1,3,33.3,3,3,100,0,3,3,4,0,0,0,3,0,8
Semi Ojeleye,31,1,3,33.3,1,3,33.3,2,2,100,1,6,7,0,1,0,0,4,-5,5
Al Horford,37,7,15,46.7,2,5,40,6,10,60,1,13,14,3,6,0,2,3,4,22
Jaylen Brown,38,5,13,38.5,3,8,37.5,1,2,50,0,6,6,2,0,2,1,4,10,14
Terry Rozier,33,4,10,40,2,6,33.3,6,8,75,0,3,3,5,2,1,1,2,4,16
Marcus Morris,26,4,10,40,1,4,25,1,2,50,1,7,8,2,1,1,0,0,8,10
Marcus Smart,24,2,7,28.6,0,2,0,5,5,100,0,5,5,4,5,1,3,2,2,9
Aron Baynes,10,2,2,100,0,0,0,0,0,0,1,1,2,0,1,0,0,1,1,4
Shane Larkin,14,2,2,100,0,0,0,0,0,0,1,1,2,2,1,2,0,2,3,4
Greg Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdel Nader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Guerschon Yabusele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,240,29,69,42,10,31,32.3,24,32,75,5,45,50,22,17,7,7,21,5,92
