"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"48","whatever the celtics are doing right now i’m blaming it on the wahlbergs",FALSE,2,NA,2018-04-27 01:41:19,FALSE,NA,"989680862361997318",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xtineaf",0,FALSE,FALSE,NA,NA
"49","RT @Celts_Softball: Celtics win 11-1 against Loyola! Today’s five homeruns break our school record for most homeruns in a season (33)! Home…",FALSE,0,NA,2018-04-27 01:41:19,FALSE,NA,"989680861107970048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","claudiau00",8,TRUE,FALSE,NA,NA
"50","Giannis and Thon collide with each other going after a cupcake rebound, the ball bounces to the Celtics and Tatum i… https://t.co/5GAJFvgSvu",FALSE,1,NA,2018-04-27 01:41:17,TRUE,NA,"989680851838521344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IKE_Bucks",0,FALSE,FALSE,NA,NA
"51","Uma ligeira acordada do Celtics, mas precisa melhorar. Tatum e Brown precisam ser mais objetivos, Horford também, o… https://t.co/wRXdSnXJZR",FALSE,0,NA,2018-04-27 01:41:15,TRUE,NA,"989680845282775040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whoismarcio",0,FALSE,FALSE,NA,NA
"52","RT @Matt_Velazquez: Celtics have cut the Bucks' 14-point lead in half in less than 2 1/2 minutes. Joe Prunty calls timeout with his team le…",FALSE,0,NA,2018-04-27 01:41:15,FALSE,NA,"989680844523687936",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BehindTheBucks",1,TRUE,FALSE,NA,NA
"53","RT @LocksDFS: If the Celtics come back and win this game, I'll give away $30. Retweet and follow for a chance. Good luck! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/nK…",FALSE,0,NA,2018-04-27 01:41:13,FALSE,NA,"989680835451334656",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","msj212",32,TRUE,FALSE,NA,NA
"54","Maker's length has served as a serious rim protector during this series. Him being on the bench opens the lane up f… https://t.co/QbUp8q3F00",FALSE,8,NA,2018-04-27 01:41:13,TRUE,NA,"989680834595696640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Marc_DAmico",0,FALSE,FALSE,NA,NA
"55","Celtics respond with a 9-2 run as Jaylen and Jayson come alive on offense.",FALSE,9,NA,2018-04-27 01:41:12,FALSE,NA,"989680833060659200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BrianTRobb",1,FALSE,FALSE,NA,NA
"56","@DJ_Bean Live look at me watching Celtics/Bucks in potentially the last game at the Bradley Center where I saw my f… https://t.co/CRx2f26M41",FALSE,0,"DJ_Bean",2018-04-27 01:41:12,TRUE,"989679662442991617","989680831408074760","58677764","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Manislaus",0,FALSE,FALSE,NA,NA
"57","@ParaDoxy11 Celtics in 6. They got too hyped now their choking I hope they continue choking and letting the Celtics keep the scoring run",FALSE,0,"ParaDoxy11",2018-04-27 01:41:12,FALSE,"989680505246355456","989680830443220992","585038681","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","celticsfanboi",0,FALSE,FALSE,NA,NA
"58","Much like other games in the series, the Celtics look so much better when they go quickly and attack the basket. Wh… https://t.co/uPSCjlZH6C",FALSE,5,NA,2018-04-27 01:41:10,TRUE,NA,"989680824911040512",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","KeithSmithNBA",2,FALSE,FALSE,NA,NA
"59","Y mientras tanto mis @celtics arriba, hay que ganar hoy.",FALSE,0,NA,2018-04-27 01:41:10,FALSE,NA,"989680824789454848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","almengo_27",0,FALSE,FALSE,NA,NA
"60","RT @NBAonTNT: ""I'm looking for Marcus Morris or Smart to come in and give them a lift.""

@TheJetOnTNT on who needs to make an impact in the…",FALSE,0,NA,2018-04-27 01:41:08,FALSE,NA,"989680817432494080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Silent_Shooter_",14,TRUE,FALSE,NA,NA
"61","<ed><U+00A0><U+00BD><ed><U+00B9><U+008F> for #Celtics.",FALSE,0,NA,2018-04-27 01:41:06,FALSE,NA,"989680808674955266",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jveatte",0,FALSE,FALSE,NA,NA
"62","Oh heyyyyy the Celtics are awake and running an offense",FALSE,7,NA,2018-04-27 01:41:04,FALSE,NA,"989680799460052993",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Mike_Dyer13",0,FALSE,FALSE,NA,NA
"63","@DaleEArnold @celtics @RedSox Clickah!",FALSE,0,"DaleEArnold",2018-04-27 01:41:02,FALSE,"989679306921127936","989680792287809537","93997039","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","McMahonProject",0,FALSE,FALSE,NA,NA
"64","Celtics cut the lead from 14 to 7 and Prunty calls time.

Thon Maker now has 4 fouls, remembering Khris has 3.

#FearTheDeer",FALSE,0,NA,2018-04-27 01:41:02,FALSE,NA,"989680791478198272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BucksLead",0,FALSE,FALSE,NA,NA
"65","THERE YOU GO JAYZUSSSSS

WELCOME TO THE PARTY<U+203C><U+FE0F><U+203C><U+FE0F>

CHIPS &amp; DRINKS ARE BEING SERVED IN THE CORNER OVER THERE

#CELTICS
#GREENFIENDS <U+2618><U+FE0F>",FALSE,1,NA,2018-04-27 01:41:02,FALSE,NA,"989680789850935296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GreenFiends",0,FALSE,FALSE,NA,NA
"66","#Celtics
<U+23F0> TIMEOUT <U+23F0>
BOS 50 vs 57 MIL
Q3 7:19

#NBAnoSporTV #CUsRise",FALSE,1,NA,2018-04-27 01:41:01,FALSE,NA,"989680786679980033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CelticsPlacar",0,FALSE,FALSE,NA,NA
"67","Celtics have cut the Bucks' 14-point lead in half in less than 2 1/2 minutes. Joe Prunty calls timeout with his tea… https://t.co/cXURbh9ULu",FALSE,1,NA,2018-04-27 01:41:01,TRUE,NA,"989680785518186496",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Matt_Velazquez",1,FALSE,FALSE,NA,NA
"68","RT @KeithSmithNBA: That was some big time help and recovery defense by Milwaukee. Chased the Celtics off at least 4 shots.",FALSE,0,NA,2018-04-27 01:41:00,FALSE,NA,"989680784184406017",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IL_NUMERO_UNO",1,TRUE,FALSE,NA,NA
"69","@MsSamanthaMay Celtics giving it away with useless 3s instead of with lead driving lane and causing them to foul",FALSE,0,"MsSamanthaMay",2018-04-27 01:41:00,FALSE,"989672674862526466","989680780824760320","27928312","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","No_Fish_Bish",0,FALSE,FALSE,NA,NA
"70","@celtics finish the series already wtf. Don’t y’all wanna rest?",FALSE,0,"celtics",2018-04-27 01:41:00,FALSE,NA,"989680780334034946","18139461","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WTF_BUCK",0,FALSE,FALSE,NA,NA
"71","RT @ESPNForsberg: Terry Rozier in Games 3 and 4 in Milwaukee: 19 points, 5 of 19 FG, 3 of 15 3PT

Terry Rozier in 1st Q of Game 6: 11 point…",FALSE,0,NA,2018-04-27 01:40:59,FALSE,NA,"989680779855777792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I_Love_JohnWall",16,TRUE,FALSE,NA,NA
