PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,PTS
Jayson Tatum,44,8,18,44.4,1,3,33.3,2,2,100,2,8,10,4,5,3,1,0,9,19
Al Horford,44,5,8,62.5,1,2,50,13,14,92.9,3,9,12,4,1,2,3,3,2,24
Aron Baynes,14,0,4,0,0,0,0,0,0,0,0,3,3,1,0,0,0,2,-3,0
Jaylen Brown,45,9,19,47.4,2,5,40,0,0,0,1,3,4,4,3,1,1,4,18,20
Terry Rozier,40,7,18,38.9,4,9,44.4,5,6,83.3,1,3,4,3,0,1,0,2,0,23
Shane Larkin,16,2,4,50,1,3,33.3,0,0,0,0,1,1,2,4,1,0,2,12,5
Marcus Morris,35,8,20,40,2,4,50,3,3,100,2,5,7,1,2,0,0,4,4,21
Greg Monroe,10,0,2,0,0,0,0,1,2,50,1,2,3,0,0,0,0,1,1,1
Semi Ojeleye,13,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,-13,0
Abdel Nader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerschon Yabusele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,265,39,94,41.5,11,26,42.3,24,27,88.9,11,34,45,20,15,8,5,21,6,113
