PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,PTS
Jayson Tatum,27,5,11,45.5,1,3,33.3,3,5,60,1,4,5,0,0,0,1,0,-17,14
Al Horford,24,7,13,53.8,1,2,50,1,1,100,1,2,3,1,2,0,0,2,-12,16
Aron Baynes,29,3,3,100,2,2,100,0,0,0,3,5,8,1,0,0,0,2,-8,8
Jaylen Brown,29,4,9,44.4,1,3,33.3,2,2,100,1,3,4,1,0,0,0,2,-11,11
Terry Rozier,31,2,7,28.6,1,5,20,4,5,80,0,2,2,9,5,2,0,1,-10,9
Marcus Morris,24,2,8,25,1,1,100,2,2,100,0,5,5,0,4,0,0,3,-20,7
Greg Monroe,23,4,12,33.3,0,0,0,7,10,70,7,5,12,2,5,0,0,0,-12,15
Semi Ojeleye,12,1,4,25,1,3,33.3,0,0,0,1,1,2,0,0,0,0,1,-6,3
Shane Larkin,18,1,5,20,0,3,0,0,0,0,0,0,0,0,0,0,0,3,-19,2
Abdel Nader,12,2,6,33.3,0,2,0,0,0,0,1,1,2,2,0,1,0,1,-6,4
Guerschon Yabusele,6,1,2,50,0,0,0,1,3,33.3,2,0,2,1,0,0,0,0,1,3
Marcus Smart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,240,32,80,40,8,24,33.3,20,28,71.4,17,28,45,17,16,3,1,15,-24,92
