"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"43","Si Khalid man diay gadala aning Celtics. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,NA,2018-04-27 02:01:24,FALSE,NA,"989685916502343680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scottbaban",0,FALSE,FALSE,NA,NA
"44","End of 3Q: Bucks 74, Celtics 65

Middleton is still sizzling - he's 7-for-8 tonight from the field. Guessing Gianni… https://t.co/vZJyuujbK4",FALSE,1,NA,2018-04-27 02:01:22,TRUE,NA,"989685905576341504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Marc_DAmico",0,FALSE,FALSE,NA,NA
"45","RT @Cavsbrasil: Khris Middleton é muito bom. Muito mesmo. Jogador inteligente, eficiente, bom defensor, assustador o que está jogando. Buck…",FALSE,0,NA,2018-04-27 02:01:21,FALSE,NA,"989685901977669632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SOLOQMANUBAZz",1,TRUE,FALSE,NA,NA
"46","RT @NBA: Jayson Tatum handle and dish to the cutting Jaylen Brown!

@celtics answer with a 20-8 burst on @NBAonTNT 

#CUsRise 61 | #FearThe…",FALSE,0,NA,2018-04-27 02:01:21,FALSE,NA,"989685901847547905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","G_castrejon",47,TRUE,FALSE,NA,NA
"47","I miss Kyrie. #BOSvsMIL #Celtics",FALSE,0,NA,2018-04-27 02:01:21,FALSE,NA,"989685901805674496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AtAndreOrtiz",0,FALSE,FALSE,NA,NA
"48","RT @iscreamcandy2: Free head of the #Celtics win over #bucks #BucksCeltics #NBAPlayoffs #nba https://t.co/EN6goB6rQR",FALSE,0,NA,2018-04-27 02:01:20,FALSE,NA,"989685900643917824",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","770Risbo",2,TRUE,FALSE,NA,NA
"49","God damn celtics! Do you have to take every possession down to within 5 secs of the shot clock????",FALSE,0,NA,2018-04-27 02:01:18,FALSE,NA,"989685892838297600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chevycamaro210",0,FALSE,FALSE,NA,NA
"50",".@MookMorris2 is a guy that is just absolutely clueless as to what his role is here, needs to go #Celtics #CUsRise",FALSE,0,NA,2018-04-27 02:01:18,FALSE,NA,"989685892066480128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","B200812",0,FALSE,FALSE,NA,NA
"51","celtics defensive rebounding is stopping the bucks from blowing them out",FALSE,0,NA,2018-04-27 02:01:18,FALSE,NA,"989685891567378432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_woIfgang",0,FALSE,FALSE,NA,NA
"52","Go go Boston Celtics
#nbaonabscbn https://t.co/6E7O28kCow",FALSE,0,NA,2018-04-27 02:01:18,FALSE,NA,"989685891156267008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MainamahalK",0,FALSE,FALSE,NA,NA
"53","All things considered, Celtics dodged a major bullet by keeping lead at 9 after going into the bonus at 10 mins &amp; going down 14.",FALSE,0,NA,2018-04-27 02:01:18,FALSE,NA,"989685891059904512",NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","bandwagonknick",0,FALSE,FALSE,NA,NA
"54","RT @ringer: Trying to keep up with the #NFLDraft and Celtics-Bucks Game 6 https://t.co/mWHAe5zd0a",FALSE,0,NA,2018-04-27 02:01:18,FALSE,NA,"989685890376126464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","audreyekitchen",50,TRUE,FALSE,NA,NA
"55","@CoachJohnBenzan @celtics The restraint of not just the Celtics, but everyone of the Bucks opponents this year when… https://t.co/PHVYLj8VW5",FALSE,0,"CoachJohnBenzan",2018-04-27 02:01:16,TRUE,"989684507170299905","989685883602391041","1664822276","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaredCurry32",0,FALSE,FALSE,NA,NA
"56","RT @celtics: <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/pQ24Oet1Wd",FALSE,0,NA,2018-04-27 02:01:16,FALSE,NA,"989685882939731969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tsuneyy",72,TRUE,FALSE,NA,NA
"57","Legitimately confused why we have been watching the red sox primarily when its Celtics post season. Like love the s… https://t.co/bY3ieRv14s",FALSE,0,NA,2018-04-27 02:01:16,TRUE,NA,"989685882914529280",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SassyySaraa",0,FALSE,FALSE,NA,NA
"58","Let’s go Celtics !!",FALSE,0,NA,2018-04-27 02:01:16,FALSE,NA,"989685881895301121",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Trizzy_Trezz",0,FALSE,FALSE,NA,NA
